nom,nombre_chambres,etoiles,note,nombre_avis,lien,iso,ecologique,green_leader,longitude,latitude,ville,pays,continent
NH Mannheim,225,4,4.0,176,https://www.nh-hotels.fr/hotel/nh-mannheim,non,oui,oui,8.488902,49.476242,Mannheim,Allemagne,Europe
NH Mannheim Viernheim,121,4,4.0,439,https://www.nh-hotels.fr/hotel/nh-mannheim-viernheim,non,non,non,8.568615,49.527019,Mannheim,Allemagne,Europe
NH Collection München Bavaria,219,4,4.0,2142,https://www.nh-hotels.fr/hotel/nh-collection-muenchen-bavaria,non,oui,oui,11.560147,48.141604,Munich,Allemagne,Europe
NH München Airport,236,4,3.5,1142,https://www.nh-hotels.fr/hotel/nh-muenchen-airport,oui,oui,oui,11.83071,48.35221,Munich,Allemagne,Europe
NH München City Süd,163,3,3.5,932,https://www.nh-hotels.fr/hotel/nh-muenchen-city-sued,non,oui,oui,11.61799,48.11092,Munich,Allemagne,Europe
NH München Messe,253,4,4.0,676,https://www.nh-hotels.fr/hotel/nh-muenchen-messe,oui,oui,oui,11.642916,48.139597,Munich,Allemagne,Europe
NH München Ost Conference Center,222,4,4.0,673,https://www.nh-hotels.fr/hotel/nh-muenchen-ost-conference-center,oui,oui,oui,11.687700,48.146746,Munich,Allemagne,Europe
NH München Unterhaching,80,4,4.0,688,https://www.nh-hotels.fr/hotel/nh-muenchen-unterhaching,non,oui,oui,11.61464,48.06623,Munich,Allemagne,Europe
NH Klösterle Nördlingen,98,4,4.0,929,https://www.nh-hotels.fr/hotel/nh-kloesterle-noerdlingen,non,oui,oui,10.488329,48.852845,Nördlingen,Allemagne,Europe
NH Collection Nürnberg City,244,4,4.0,1806,https://www.nh-hotels.fr/hotel/nh-collection-nuernberg-city,oui,oui,oui,11.087244,49.447677,Nuremberg,Allemagne,Europe
NH Oberhausen,172,4,4.0,840,https://www.nh-hotels.fr/hotel/nh-oberhausen,non,non,non,6.85978,51.47289,Oberhausen,Allemagne,Europe
NH Potsdam,143,4,4.0,1076,https://www.nh-hotels.fr/hotel/nh-potsdam,non,oui,oui,13.057531,52.402459,Potsdam,Allemagne,Europe
NH Schwerin,144,4,4.0,495,https://www.nh-hotels.fr/hotel/nh-schwerin,non,oui,oui,11.394549,53.602414,Schwerin,Allemagne,Europe
NH Stuttgart Airport,208,4,4.0,987,https://www.nh-hotels.fr/hotel/nh-stuttgart-airport,oui,oui,oui,9.223817,48.661487,Stuttgart,Allemagne,Europe
NH Stuttgart Sindelfingen,103,4,3.5,386,https://www.nh-hotels.fr/hotel/nh-stuttgart-sindelfingen,non,oui,oui,8.997000,48.705548,Stuttgart,Allemagne,Europe
NH Weinheim,187,4,4.0,610,https://www.nh-hotels.fr/hotel/nh-weinheim,non,oui,oui,8.64495,49.54377,Weinheim,Allemagne,Europe
NH Wiesbaden,130,,3.0,523,https://www.nh-hotels.fr/hotel/nh-wiesbaden,non,oui,oui,8.267992,50.086741,Wiesbaden,Allemagne,Europe
NH Andorra La Vella,60,4,4.5,1293,https://www.nh-hotels.fr/hotel/nh-andorra-la-vella,non,non,non,1.529226,42.509161,Andorra La Vella,Andorre,Europe
NH Graz City,157,4,4.5,353,https://www.nh-hotels.fr/hotel/nh-graz-city,non,non,non,15.441678,47.073817,Graz,Autriche,Europe
NH Salzburg City,140,4,4.0,2121,https://www.nh-hotels.fr/hotel/nh-salzburg-city,non,oui,oui,13.048936390431376,47.80532045380882,Salzbourg,Autriche,Europe
NH Collection Wien Zentrum,73,4,4.5,1173,https://www.nh-hotels.fr/hotel/nh-collection-wien-zentrum,non,oui,oui,16.34857,48.19777,Vienne,Autriche,Europe
NH Danube City,252,4,4.0,1336,https://www.nh-hotels.fr/hotel/nh-danube-city,oui,oui,oui,16.422348038480454,48.23531842810155,Vienne,Autriche,Europe
